concept id	representation id	en	kanji	kana
FMA44248	BP9274	long plantar ligament	長足底靱帯	ちょうそくていじんたい
FMA44249	BP5093	right long plantar ligament	right long plantar ligament	right long plantar ligament
FMA44250	BP9273	left long plantar ligament	left long plantar ligament	left long plantar ligament
FMA44318	BP5840	superficial epigastric vein	浅腹壁静脈	せんふくへきじょうみゃく
FMA44323	BP10598	tributary of femoral vein	tributary of femoral vein	tributary of femoral vein
FMA44324	BP5843	tributary of deep femoral vein	tributary of deep femoral vein	tributary of deep femoral vein
FMA44325	BP5863	medial circumflex femoral vein	medial circumflex femoral vein	medial circumflex femoral vein
FMA44326	BP5866	lateral circumflex femoral vein	lateral circumflex femoral vein	lateral circumflex femoral vein
FMA44327	BP5860	popliteal vein	膝窩静脈	しつかじょうみゃく
FMA44328	BP5861	right popliteal vein	right popliteal vein	right popliteal vein
FMA44329	BP5862	left popliteal vein	left popliteal vein	left popliteal vein
FMA44330	BP5844	tributary of popliteal vein	tributary of popliteal vein	tributary of popliteal vein
FMA44331	BP5848	anterior tibial vein	anterior tibial vein	anterior tibial vein
FMA44332	BP5845	posterior tibial vein	posterior tibial vein	posterior tibial vein
FMA44333	BP5851	small saphenous vein	小伏在静脈	しょうふくざいじょうみゃく
FMA44334	BP5852	right small saphenous vein	right small saphenous vein	right small saphenous vein
FMA44335	BP5853	left small saphenous vein	left small saphenous vein	left small saphenous vein
FMA44336	BP5849	right anterior tibial vein	right anterior tibial vein	right anterior tibial vein
FMA44337	BP5850	left anterior tibial vein	left anterior tibial vein	left anterior tibial vein
FMA44338	BP5846	right posterior tibial vein	right posterior tibial vein	right posterior tibial vein
FMA44339	BP5847	left posterior tibial vein	left posterior tibial vein	left posterior tibial vein
FMA44340	BP5841	right superficial epigastric vein	right superficial epigastric vein	right superficial epigastric vein
FMA44341	BP5842	left superficial epigastric vein	left superficial epigastric vein	left superficial epigastric vein
FMA44356	BP5890	dorsal venous arch of foot	足背静脈弓	そくはいじょうみゃくきゅう
FMA44489	BP5884	plantar venous arch of foot	足底静脈弓	そくていじょうみゃくきゅう
FMA44499	BP5821	tributary of plantar venous arch	tributary of plantar venous arch	tributary of plantar venous arch
FMA44504	BP5822	plantar metatarsal vein	plantar metatarsal vein	plantar metatarsal vein
FMA44558	BP5857	fibular vein	fibular vein	fibular vein
FMA44559	BP5854	genicular vein	genicular vein	genicular vein
FMA44594	BP6053	arcuate artery	足の弓状動脈	あしのきゅうじょうどうみゃく
FMA44595	BP6050	lateral tarsal artery	外側足根動脈	がいそくそくこんどうみゃく
FMA44660	BP6049	dorsal digital artery of foot	dorsal digital artery of foot	dorsal digital artery of foot
FMA44881	BP5891	dorsal venous arch of right foot	dorsal venous arch of right foot	dorsal venous arch of right foot
FMA44882	BP5892	dorsal venous arch of left foot	dorsal venous arch of left foot	dorsal venous arch of left foot
FMA44883	BP5885	plantar venous arch of right foot	plantar venous arch of right foot	plantar venous arch of right foot
FMA44884	BP5886	plantar venous arch of left foot	plantar venous arch of left foot	plantar venous arch of left foot
FMA44885	BP5858	right fibular vein	right fibular vein	right fibular vein
